date	open	high	low	close	volume
4/11/13	26.26477322	26.35503108	25.9308225	26.120363	
4/12/13	26.03913127	26.19256809	25.86764306	25.984978	
4/15/13	25.85861632	26.15646425	25.73225659	25.89472	
4/16/13	26.08426003	26.30087582	25.90374703	26.147439	
4/17/13	26.03913139	26.21062051	25.813489	26.02108	
4/18/13	26.12938913	26.15646531	25.72323193	25.984978	
4/19/13	26.73411047	27.29370268	26.72508478	26.869495	
4/22/13	27.34785624	28.14211834	27.32078006	27.826219	
4/23/13	27.70888586	27.88939886	27.4200618	27.618628	
4/24/13	27.63668061	28.81002013	27.61862832	28.665609	
4/25/13	28.62047821	29.64038265	28.4670432	28.828071	
4/26/13	28.79196774	28.86417331	28.38581236	28.692686	
4/29/13	28.70170988	29.49597196	28.6746337	29.432793	
4/30/13	29.38766516	29.8840784	29.13494388	29.87505	
5/1/13	29.7216147	29.85700193	29.42376495	29.532076	
5/2/13	29.45084505	29.93822989	29.23422655	29.929206	
5/3/13	29.99238512	30.25413028	29.8570015	30.227055	
5/6/13	30.16387225	30.60613313	30.01043723	30.461722	
5/7/13	30.37146654	30.49782538	30.00141304	30.064592	
5/8/13	29.84797376	30.00141238	29.46889637	29.77577	
5/9/13	29.64940741	29.78479464	29.41474113	29.477921	
5/10/13	29.48694471	29.53207589	29.17104718	29.504997	
5/13/13	29.4327936	29.84797468	29.37863762	29.811871	
5/14/13	29.8664068	30.475367	29.81187107	30.475367	
5/15/13	30.40265731	30.81166256	30.38447843	30.766214	
5/16/13	30.57534592	31.0388869	30.49354505	30.975264	
5/17/13	31.0207079	31.693291	30.99343822	31.693291	
5/20/13	31.5660457	31.90233633	31.52060077	31.884162	
5/21/13	31.90233663	32.0568512	31.55695792	31.675112	
5/22/13	31.62058074	31.66602475	31.22975437	31.456979	
5/23/13	31.11159606	31.40244268	30.81166137	31.038886	
5/24/13	30.82983669	31.15704108	30.81166236	31.147953	
5/28/13	31.28428606	31.97505077	31.27519889	31.829627	
5/29/13	31.57513711	31.82962689	31.42062254	31.702382	
5/30/13	31.67511136	32.03867258	31.63875814	31.838714	
5/31/13	31.6478463	32.06593871	31.62058025	31.72056	
6/3/13	31.73873516	32.38405585	31.65693793	32.347699	
6/4/13	32.37496434	32.48403489	31.60240151	31.802361	
6/5/13	31.44788736	31.71146884	31.29337642	31.61149	
6/6/13	31.66602508	31.9114286	31.34791241	31.775092	
