Date	Open	High	Low	Close	Adj Close	Volume
2020-11-19	0.570000	0.610000	0.550000	0.610000	0.610000	133100
2020-11-20	0.610000	0.610000	0.560000	0.600000	0.600000	113500
2020-11-23	0.600000	0.630000	0.600000	0.630000	0.630000	133800
2020-11-24	0.580000	0.660000	0.580000	0.650000	0.650000	231800
2020-11-25	0.650000	0.660000	0.600000	0.640000	0.640000	108100
2020-11-27	0.640000	0.660000	0.610000	0.640000	0.640000	56100
2020-11-30	0.650000	0.670000	0.630000	0.660000	0.660000	102100
2020-12-01	0.640000	0.680000	0.640000	0.680000	0.680000	109200
2020-12-02	0.640000	0.680000	0.640000	0.670000	0.670000	95700
2020-12-03	0.650000	0.680000	0.650000	0.650000	0.650000	108000
2020-12-04	0.680000	0.680000	0.650000	0.670000	0.670000	81600
2020-12-07	0.680000	0.680000	0.590000	0.590000	0.590000	390800
2020-12-08	0.600000	0.640000	0.550000	0.550000	0.550000	435400
2020-12-09	0.550000	0.600000	0.510000	0.550000	0.550000	214200
2020-12-10	0.590000	0.590000	0.500000	0.520000	0.520000	549200
2020-12-11	0.520000	0.570000	0.510000	0.540000	0.540000	185400
2020-12-14	0.570000	0.640000	0.550000	0.630000	0.630000	221300
2020-12-15	0.630000	0.680000	0.630000	0.670000	0.670000	206600
2020-12-16	0.680000	0.740000	0.650000	0.740000	0.740000	414600
2020-12-17	0.790000	0.890000	0.750000	0.890000	0.890000	806900
2020-12-18	0.950000	0.980000	0.900000	0.960000	0.960000	764500
2020-12-21	1.020000	1.150000	1.000000	1.130000	1.130000	971800
2020-12-22	1.130000	1.140000	0.950000	0.990000	0.990000	458900
2020-12-23	0.980000	1.080000	0.950000	1.020000	1.020000	244500
2020-12-24	1.100000	1.120000	0.990000	1.080000	1.080000	200100
2020-12-28	1.140000	1.150000	1.080000	1.130000	1.130000	520200
2020-12-29	1.150000	1.150000	1.100000	1.100000	1.100000	276700
2020-12-30	1.090000	1.110000	1.050000	1.090000	1.090000	125700
2020-12-31	1.100000	1.110000	1.050000	1.080000	1.080000	120500
2021-01-04	1.080000	1.140000	1.040000	1.120000	1.120000	257100
2021-01-05	1.100000	1.100000	1.010000	1.060000	1.060000	290200
2021-01-06	1.090000	1.100000	1.030000	1.030000	1.030000	172900
2021-01-07	1.040000	1.090000	1.020000	1.090000	1.090000	186700
2021-01-08	1.110000	1.110000	1.010000	1.040000	1.040000	223000
2021-01-11	1.010000	1.100000	0.950000	1.000000	1.000000	269800
2021-01-12	1.000000	1.060000	0.950000	0.960000	0.960000	252800
2021-01-13	0.980000	1.030000	0.960000	1.020000	1.020000	175300
2021-01-14	1.040000	1.060000	0.960000	1.040000	1.040000	187800
2021-01-15	1.060000	1.060000	0.950000	1.030000	1.030000	176400
2021-01-19	1.050000	1.150000	1.030000	1.150000	1.150000	745500
2021-01-20	1.150000	1.250000	1.090000	1.250000	1.250000	703900
2021-01-21	1.260000	2.120000	1.260000	2.050000	2.050000	3897200
2021-01-22	2.120000	2.250000	1.750000	2.070000	2.070000	1533800
2021-01-25	2.050000	2.500000	2.050000	2.360000	2.360000	1012500
2021-01-26	2.490000	2.500000	2.350000	2.400000	2.400000	409100
2021-01-27	2.350000	2.370000	1.800000	1.930000	1.930000	929200
2021-01-28	2.040000	2.040000	1.700000	1.700000	1.700000	444900
2021-01-29	1.750000	1.800000	1.350000	1.560000	1.560000	773000
2021-02-01	1.500000	1.960000	1.500000	1.950000	1.950000	486900
2021-02-02	2.050000	2.200000	1.880000	2.080000	2.080000	482400
2021-02-03	2.250000	2.350000	2.100000	2.160000	2.160000	385500
2021-02-04	2.200000	2.290000	2.020000	2.200000	2.200000	339200
2021-02-05	2.250000	2.330000	2.150000	2.200000	2.200000	241100
2021-02-08	2.150000	2.200000	1.920000	2.050000	2.050000	443700
2021-02-09	1.950000	2.090000	1.840000	2.080000	2.080000	365500
2021-02-10	2.120000	2.130000	1.860000	2.080000	2.080000	243000
2021-02-11	2.080000	2.440000	1.920000	2.390000	2.390000	737300
2021-02-12	2.480000	2.500000	2.290000	2.400000	2.400000	307900
2021-02-16	2.470000	2.670000	2.430000	2.530000	2.530000	686400
2021-02-17	2.750000	3.120000	2.650000	3.120000	3.120000	684600
2021-02-18	3.150000	3.900000	3.120000	3.500000	3.500000	1103500
2021-02-19	3.600000	4.100000	3.450000	4.090000	4.090000	996900
2021-02-22	3.990000	4.000000	3.000000	3.010000	3.010000	1071500
2021-02-23	2.740000	3.420000	2.150000	3.350000	3.350000	1277000
2021-02-24	3.500000	4.070000	3.350000	3.950000	3.950000	776200
2021-02-25	4.030000	4.130000	3.500000	3.770000	3.770000	617800
2021-02-26	3.920000	3.950000	3.450000	3.470000	3.470000	391300
2021-03-01	3.550000	3.920000	3.480000	3.680000	3.680000	305800
2021-03-02	3.600000	3.730000	3.240000	3.510000	3.510000	361300
2021-03-03	3.770000	3.770000	3.200000	3.360000	3.360000	207400
2021-03-04	3.140000	3.150000	2.500000	2.810000	2.810000	828000
2021-03-05	2.720000	2.940000	1.800000	2.700000	2.700000	1098903
